word_count,avg_word_length
31,4.161290322580645
47,4.425531914893617
21,3.7142857142857144
7,3.857142857142857
19,3.4210526315789473
5,4.0
10,3.1
4,5.75
13,3.4615384615384617
4,5.75
79,3.8860759493670884
4,3.25
1,7.0
5,3.8
1,2.0
6,3.3333333333333335
12,3.9166666666666665
7,3.5714285714285716
2,2.5
5,3.6
13,3.769230769230769
13,3.6923076923076925
7,4.142857142857143
1,6.0
6,3.8333333333333335
26,3.5
6,3.5
39,3.6923076923076925
5,3.6
18,4.222222222222222
17,4.294117647058823
13,3.6153846153846154
17,4.117647058823529
10,3.2
4,6.0
12,4.083333333333333
22,4.409090909090909
18,3.388888888888889
4,6.5
49,3.6122448979591835
8,3.375
27,3.6666666666666665
8,4.625
30,4.5
13,3.6153846153846154
6,4.0
8,4.25
5,3.6
8,3.75
5,3.8
14,4.857142857142857
8,3.125
24,3.7916666666666665
18,3.5
15,3.8
31,5.161290322580645
7,4.571428571428571
12,5.5
8,5.75
17,4.352941176470588
15,4.133333333333334
35,4.0
8,4.75
22,4.681818181818182
22,3.727272727272727
22,4.5
11,3.4545454545454546
7,3.2857142857142856
13,4.0
22,3.272727272727273
19,4.631578947368421
8,4.625
7,4.428571428571429
5,3.8
14,4.214285714285714
11,4.454545454545454
8,3.375
2,8.5
35,3.742857142857143
17,4.117647058823529
18,4.5
4,6.25
7,6.285714285714286
14,3.5
43,3.9069767441860463
6,4.5
6,5.5
9,4.888888888888889
2,3.5
17,4.294117647058823
7,4.142857142857143
4,3.5
18,4.0
10,4.5
14,4.357142857142857
9,3.3333333333333335
15,3.2666666666666666
16,3.8125
18,4.277777777777778
41,4.2682926829268295
10,3.1
9,3.5555555555555554
14,4.214285714285714
5,3.4
24,3.5833333333333335
28,3.75
7,4.714285714285714
7,3.5714285714285716
20,3.7
29,3.7586206896551726
21,3.8095238095238093
1,2.0
16,3.9375
26,4.5
33,4.818181818181818
37,5.378378378378378
5,5.6
7,4.714285714285714
25,4.52
5,5.6
23,4.434782608695652
33,4.212121212121212
20,4.05
27,4.0
28,4.428571428571429
32,4.9375
22,4.636363636363637
5,5.8
45,4.266666666666667
47,4.127659574468085
36,4.388888888888889
27,4.777777777777778
15,5.866666666666666
11,4.363636363636363
50,4.76
92,4.521739130434782
39,4.6923076923076925
7,6.0
8,4.375
40,4.45
4,5.5
20,4.6
28,5.285714285714286
56,4.160714285714286
9,3.5555555555555554
13,4.153846153846154
5,4.2
4,4.5
14,4.5
10,4.4
26,3.8076923076923075
15,3.7333333333333334
29,4.0
20,4.2
1,2.0
9,4.444444444444445
22,4.0
9,3.6666666666666665
4,3.5
50,4.2
19,4.105263157894737
5,5.2
14,5.0
23,5.217391304347826
10,5.5
13,5.0
15,4.533333333333333
17,3.823529411764706
4,6.5
43,4.5813953488372094
21,5.238095238095238
6,4.0
33,4.212121212121212
27,4.148148148148148
1,2.0
20,4.1
6,3.3333333333333335
9,4.0
18,4.777777777777778
12,4.083333333333333
15,3.6666666666666665
7,3.7142857142857144
11,3.0
28,3.892857142857143
16,3.8125
52,4.096153846153846
9,3.6666666666666665
11,3.8181818181818183
1,2.0
8,3.75
